RES,ORD,P,SP,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,PN,avLI,RE24,WPA,PLAYER,TEAM,YEAR,B,GPA,BB/K,ISOP,XBH
3.0,4,C,8.0,25.0,3.0,8.0,1.0,0.0,1.0,12.0,5.0,1.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,1.0,0.341,0.434,0.64,1.074,13.778,0.761,0.339,0.037,양의지,NC,2021.0,6.0,0.355,1.0,0.299,2.0
3.0,4,C,9.0,34.0,4.0,11.0,1.0,1.0,1.0,17.0,5.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.323,0.424,0.564,0.989,13.889,0.731,0.222,0.024,양의지,NC,2021.0,8.0,0.332,1.0,0.241,3.0
7.0,4,C,8.0,27.0,9.0,11.0,2.0,0.0,3.0,22.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.445,0.615,1.06,15.333,0.841,1.063,0.115,양의지,NC,2021.0,6.0,0.354,inf,0.276,5.0
3.0,4,DH,8.0,28.0,5.0,9.0,2.0,0.0,2.0,17.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.348,0.461,0.646,1.107,14.111,1.073,0.209,0.006,양의지,NC,2021.0,5.0,0.369,inf,0.298,4.0
6.0,4,DH,9.0,30.0,9.0,12.0,1.0,0.0,2.0,19.0,10.0,0.0,1.0,8.0,1.0,0.0,5.0,0.0,0.0,0.0,0.352,0.466,0.653,1.119,18.0,0.88,0.909,0.136,양의지,NC,2021.0,9.0,0.373,1.6,0.301,3.0
3.0,4,DH,9.0,31.0,3.0,8.0,1.0,0.0,2.0,15.0,5.0,0.0,0.0,9.0,0.0,1.0,4.0,1.0,0.0,0.0,0.348,0.466,0.62,1.087,18.0,1.092,0.23,0.044,양의지,NC,2021.0,5.0,0.365,2.25,0.272,3.0
5.0,4,DH,9.0,35.0,11.0,14.0,3.0,0.0,6.0,35.0,17.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,0.348,0.461,0.653,1.115,16.667,1.119,1.236,0.157,양의지,NC,2021.0,5.0,0.371,0.4,0.306,9.0
4.0,4,C,9.0,33.0,6.0,11.0,2.0,0.0,3.0,22.0,8.0,1.0,0.0,4.0,0.0,1.0,4.0,2.0,0.0,2.0,0.351,0.454,0.671,1.125,14.444,1.283,0.257,0.07,양의지,NC,2021.0,6.0,0.372,1.0,0.32,5.0
5.0,5,C,8.0,30.0,3.0,11.0,2.0,0.0,1.0,16.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.276,0.304,0.418,0.722,11.111,1.107,0.258,0.01,강민호,삼성,2021.0,8.0,0.241,0.4,0.142,3.0
5.0,5,C,8.0,33.0,5.0,14.0,2.0,0.0,2.0,22.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.365,0.394,0.524,0.918,14.222,1.079,0.687,0.025,강민호,삼성,2021.0,10.0,0.308,2.0,0.158,4.0
8.0,4,C,9.0,33.0,6.0,13.0,2.0,0.0,2.0,21.0,11.0,0.0,0.0,6.0,0.0,1.0,6.0,2.0,0.0,0.0,0.397,0.442,0.601,1.042,15.889,1.307,0.327,0.019,강민호,삼성,2021.0,9.0,0.349,1.0,0.204,4.0
4.0,5,C,6.0,26.0,2.0,5.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.365,0.425,0.574,0.999,8.556,2.288,-0.497,-0.008,강민호,삼성,2021.0,3.0,0.335,1.0,0.209,2.0
5.0,4,C,9.0,31.0,3.0,10.0,2.0,0.0,1.0,15.0,6.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,2.0,0.346,0.401,0.527,0.928,13.556,0.886,0.064,0.069,강민호,삼성,2021.0,7.0,0.312,0.4,0.181,3.0
5.0,4,C,8.0,25.0,4.0,10.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.35,0.402,0.522,0.924,10.333,1.098,0.26,0.012,강민호,삼성,2021.0,8.0,0.311,0.6,0.171,2.0
7.0,4,C,9.0,33.0,5.0,8.0,2.0,0.0,1.0,13.0,5.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.338,0.397,0.501,0.898,17.556,0.997,-0.117,0.017,강민호,삼성,2021.0,5.0,0.304,2.0,0.163,3.0
4.0,4,C,8.0,33.0,6.0,11.0,0.0,0.0,4.0,23.0,8.0,0.0,0.0,3.0,0.0,1.0,4.0,2.0,0.0,1.0,0.332,0.391,0.516,0.907,16.222,1.216,0.044,0.028,강민호,삼성,2021.0,7.0,0.305,0.75,0.183,4.0
7.0,5,1B,9.0,32.0,3.0,8.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.351,0.405,0.45,0.855,17.222,1.073,-0.276,-0.026,오재일,삼성,2021.0,6.0,0.295,0.375,0.099,2.0
5.0,4,1B,9.0,33.0,5.0,9.0,3.0,0.0,2.0,18.0,6.0,0.0,0.0,5.0,0.0,0.0,9.0,1.0,0.0,0.0,0.259,0.335,0.411,0.746,17.333,1.261,0.161,0.014,오재일,삼성,2021.0,4.0,0.253,0.556,0.152,5.0
4.0,4,1B,8.0,30.0,4.0,5.0,0.0,0.0,3.0,14.0,5.0,0.0,0.0,3.0,0.0,0.0,11.0,1.0,0.0,2.0,0.25,0.333,0.446,0.779,14.778,1.026,-0.27,-0.025,오재일,삼성,2021.0,2.0,0.261,0.273,0.196,3.0
4.0,3,1B,9.0,35.0,8.0,15.0,4.0,0.0,3.0,28.0,11.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.272,0.345,0.546,0.891,13.222,0.72,0.796,0.03,오재일,삼성,2021.0,8.0,0.292,0.6,0.275,7.0
5.0,5,1B,9.0,33.0,2.0,9.0,2.0,0.0,1.0,14.0,7.0,0.0,0.0,5.0,0.0,1.0,10.0,0.0,0.0,0.0,0.302,0.374,0.567,0.942,15.889,0.958,0.267,0.044,오재일,삼성,2021.0,6.0,0.31,0.5,0.266,3.0
